DATE,DAUPSA
2005-12-01,348.3
2006-01-01,374.5
2006-02-01,366.4
2006-03-01,377.7
2006-04-01,381.7
2006-05-01,366.1
2006-06-01,348.9
2006-07-01,330.8
2006-08-01,350.4
2006-09-01,354.7
2006-10-01,349.4
2006-11-01,339.3
2006-12-01,354.6
2007-01-01,340.5
2007-02-01,324.3
2007-03-01,313.6
2007-04-01,323.8
2007-05-01,313.1
2007-06-01,336.7
2007-07-01,346.0
2007-08-01,312.6
2007-09-01,293.6
2007-10-01,310.2
2007-11-01,317.7
2007-12-01,333.3
2008-01-01,328.6
2008-02-01,320.6
2008-03-01,327.5
2008-04-01,295.4
2008-05-01,295.2
2008-06-01,312.4
2008-07-01,375.4
2008-08-01,330.8
2008-09-01,320.6
2008-10-01,305.2
2008-11-01,270.9
2008-12-01,239.2
2009-01-01,107.5
2009-02-01,135.4
2009-03-01,154.0
2009-04-01,152.8
2009-05-01,148.6
2009-06-01,148.3
2009-07-01,188.6
2009-08-01,210.7
2009-09-01,239.8
2009-10-01,243.8
2009-11-01,228.7
2009-12-01,236.1
2010-01-01,231.5
2010-02-01,232.1
2010-03-01,224.0
2010-04-01,224.4
2010-05-01,251.0
2010-06-01,230.3
2010-07-01,234.5
2010-08-01,223.9
2010-09-01,222.0
2010-10-01,219.0
2010-11-01,221.7
2010-12-01,203.9
2011-01-01,198.9
2011-02-01,229.3
2011-03-01,240.3
2011-04-01,217.1
2011-05-01,230.2
2011-06-01,224.7
2011-07-01,227.9
2011-08-01,257.7
2011-09-01,246.5
2011-10-01,283.6
2011-11-01,284.2
2011-12-01,306.3
2012-01-01,327.1
2012-02-01,328.3
2012-03-01,324.3
2012-04-01,345.2
2012-05-01,343.1
2012-06-01,343.0
2012-07-01,361.4
2012-08-01,340.3
2012-09-01,343.8
2012-10-01,344.6
2012-11-01,353.5
2012-12-01,342.6
2013-01-01,365.2
2013-02-01,364.6
2013-03-01,379.7
2013-04-01,363.1
2013-05-01,365.7
2013-06-01,375.2
2013-07-01,312.6
2013-08-01,357.0
2013-09-01,372.3
2013-10-01,361.6
2013-11-01,367.0
2013-12-01,368.9
2014-01-01,352.3
2014-02-01,359.6
2014-03-01,347.3
2014-04-01,332.2
2014-05-01,331.6
2014-06-01,366.5
2014-07-01,382.3
2014-08-01,355.6
2014-09-01,354.1
2014-10-01,336.9
2014-11-01,367.8
2014-12-01,370.3
2015-01-01,355.9
2015-02-01,320.6
2015-03-01,353.9
2015-04-01,353.9
2015-05-01,374.0
2015-06-01,340.5
2015-07-01,395.1
2015-08-01,348.1
2015-09-01,343.8
2015-10-01,339.4
2015-11-01,318.1
2015-12-01,318.6
2016-01-01,333.9
2016-02-01,330.4
2016-03-01,328.0
2016-04-01,321.6
2016-05-01,311.5
2016-06-01,346.1
2016-07-01,329.5
2016-08-01,332.4
2016-09-01,327.3
2016-10-01,314.4
2016-11-01,312.7
2016-12-01,297.8
2017-01-01,279.3
2017-02-01,278.1
2017-03-01,264.1
2017-04-01,287.9
2017-05-01,283.7
2017-06-01,257.2
2017-07-01,212.1
2017-08-01,252.9
2017-09-01,225.1
2017-10-01,225.8
2017-11-01,222.1
2017-12-01,219.9
2018-01-01,217.8
2018-02-01,246.3
2018-03-01,259.3
2018-04-01,249.4
2018-05-01,233.1
2018-06-01,226.1
2018-07-01,195.0
2018-08-01,212.2
2018-09-01,226.9
2018-10-01,232.9
2018-11-01,233.0
2018-12-01,253.0
2019-01-01,232.5
2019-02-01,219.5
2019-03-01,210.0
2019-04-01,205.0
2019-05-01,213.7
2019-06-01,212.1
2019-07-01,205.1
2019-08-01,212.4
2019-09-01,198.5
2019-10-01,180.7
2019-11-01,212.1
2019-12-01,206.0
2020-01-01,217.3
2020-02-01,222.2
2020-03-01,143.3
2020-04-01,1.7
2020-05-01,48.2
2020-06-01,141.3
2020-07-01,209.3
2020-08-01,193.8
2020-09-01,190.6
2020-10-01,182.2
2020-11-01,180.2
2020-12-01,172.5
2021-01-01,180.9
2021-02-01,145.0
2021-03-01,125.8
2021-04-01,133.2
2021-05-01,129.9
2021-06-01,123.8
2021-07-01,135.7
2021-08-01,121.2
2021-09-01,84.1
2021-10-01,124.2
2021-11-01,132.7
2021-12-01,140.2
2022-01-01,131.4
2022-02-01,128.8
2022-03-01,136.6
2022-04-01,142.1
2022-05-01,139.5
2022-06-01,143.2
2022-07-01,140.7
2022-08-01,154.0
2022-09-01,152.3
2022-10-01,149.0
2022-11-01,141.0
2022-12-01,135.0
2023-01-01,141.9
2023-02-01,147.5
2023-03-01,152.8
2023-04-01,152.1
2023-05-01,145.8
2023-06-01,143.6
2023-07-01,148.9
2023-08-01,160.1
2023-09-01,153.0
